subject,n_timepoints,bold_file,ROI1_mPFC_mean,ROI1_mPFC_std,ROI1_mPFC_min,ROI1_mPFC_max,ROI1_mPFC_file,ROI2_Hipp_mean,ROI2_Hipp_std,ROI2_Hipp_min,ROI2_Hipp_max,ROI2_Hipp_file,ROI3_Striatum_mean,ROI3_Striatum_std,ROI3_Striatum_min,ROI3_Striatum_max,ROI3_Striatum_file
sub-control001,1140,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control001/func/sub-control001_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,1.2025498e-09,0.19110808,-0.8665078,0.6254872,time_series/sub-control001/ROI1_mPFC_timeseries.txt,3.50308e-09,0.41196415,-1.5744473,1.3549576,time_series/sub-control001/ROI2_Hipp_timeseries.txt,7.3198686e-10,0.32139757,-1.129066,1.0809497,time_series/sub-control001/ROI3_Striatum_timeseries.txt
sub-control002,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control002/func/sub-control002_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,9.419523e-10,0.3109342,-1.0772045,0.8584004,time_series/sub-control002/ROI1_mPFC_timeseries.txt,4.7097615e-10,0.3635881,-1.1085306,1.1916188,time_series/sub-control002/ROI2_Hipp_timeseries.txt,-7.849602e-10,0.20595816,-0.8951379,0.7888477,time_series/sub-control002/ROI3_Striatum_timeseries.txt
sub-control003,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control003/func/sub-control003_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,6.279682e-10,0.14462471,-0.44638768,0.5224107,time_series/sub-control003/ROI1_mPFC_timeseries.txt,-5.233068e-11,0.14527713,-0.45222262,0.4885447,time_series/sub-control003/ROI2_Hipp_timeseries.txt,8.8962154e-10,0.18227012,-0.6045866,0.53398293,time_series/sub-control003/ROI3_Striatum_timeseries.txt
sub-control007,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control007/func/sub-control007_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,1.151275e-09,0.33089146,-1.2512434,1.027761,time_series/sub-control007/ROI1_mPFC_timeseries.txt,1.8315738e-09,0.26949823,-0.9206683,0.9090513,time_series/sub-control007/ROI2_Hipp_timeseries.txt,6.279682e-10,0.20655423,-0.79752517,0.61167157,time_series/sub-control007/ROI3_Striatum_timeseries.txt
sub-control009,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control009/func/sub-control009_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,-1.0466136e-09,0.25803494,-0.9223953,0.8197919,time_series/sub-control009/ROI1_mPFC_timeseries.txt,-1.8839046e-09,0.2994398,-1.0988028,0.9891354,time_series/sub-control009/ROI2_Hipp_timeseries.txt,-1.3605976e-09,0.29505643,-1.1146663,0.9298881,time_series/sub-control009/ROI3_Striatum_timeseries.txt
sub-control011,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control011/func/sub-control011_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,-1.308267e-09,0.19018824,-0.8189457,0.6399273,time_series/sub-control011/ROI1_mPFC_timeseries.txt,9.942829e-10,0.29846907,-0.97060716,0.99747825,time_series/sub-control011/ROI2_Hipp_timeseries.txt,5.233068e-11,0.38385305,-1.4096861,1.3548965,time_series/sub-control011/ROI3_Striatum_timeseries.txt
sub-control013,1140,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control013/func/sub-control013_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,5.2284777e-10,0.22933684,-0.7701626,0.74588835,time_series/sub-control013/ROI1_mPFC_timeseries.txt,2.6142388e-10,0.1971104,-0.6610856,0.82723874,time_series/sub-control013/ROI2_Hipp_timeseries.txt,5.2284777e-10,0.30031848,-0.9432031,0.9568644,time_series/sub-control013/ROI3_Striatum_timeseries.txt
sub-control015,1140,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control015/func/sub-control015_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,-9.934108e-10,0.24314962,-0.98234445,0.75255173,time_series/sub-control015/ROI1_mPFC_timeseries.txt,-1.0456955e-09,0.57964534,-2.1154218,1.9627234,time_series/sub-control015/ROI2_Hipp_timeseries.txt,-1.04569554e-10,0.411159,-1.3957975,1.4226176,time_series/sub-control015/ROI3_Striatum_timeseries.txt
sub-control017,1140,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control017/func/sub-control017_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,-3.1370867e-10,0.15225741,-0.5429724,0.5216642,time_series/sub-control017/ROI1_mPFC_timeseries.txt,-3.6599343e-10,0.2940937,-1.0235106,0.9638792,time_series/sub-control017/ROI2_Hipp_timeseries.txt,-1.8038248e-09,0.24472804,-0.7950547,0.813803,time_series/sub-control017/ROI3_Striatum_timeseries.txt
sub-control019,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control019/func/sub-control019_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,9.681176e-10,0.17839228,-0.5425363,0.55399716,time_series/sub-control019/ROI1_mPFC_timeseries.txt,-8.372909e-10,0.36238033,-1.371718,1.3108764,time_series/sub-control019/ROI2_Hipp_timeseries.txt,9.419523e-10,0.26465824,-0.8984164,0.8501842,time_series/sub-control019/ROI3_Striatum_timeseries.txt
sub-control021,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control021/func/sub-control021_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,1.2821016e-09,0.21027419,-0.70334595,0.6876026,time_series/sub-control021/ROI1_mPFC_timeseries.txt,-6.279682e-10,0.1715989,-0.5930837,0.56144816,time_series/sub-control021/ROI2_Hipp_timeseries.txt,-1.2036057e-09,0.27363956,-1.063154,1.2730707,time_series/sub-control021/ROI3_Striatum_timeseries.txt
sub-control023,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control023/func/sub-control023_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,-2.0932273e-10,0.16825274,-0.6982276,0.5336817,time_series/sub-control023/ROI1_mPFC_timeseries.txt,6.0180283e-10,0.19356985,-0.67649114,0.697452,time_series/sub-control023/ROI2_Hipp_timeseries.txt,-1.8839046e-09,0.29237854,-1.1484638,1.0113792,time_series/sub-control023/ROI3_Striatum_timeseries.txt
sub-control025,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control025/func/sub-control025_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,2.616534e-10,0.13471971,-0.47269604,0.4952149,time_series/sub-control025/ROI1_mPFC_timeseries.txt,1.8839046e-09,0.7263552,-2.2178671,2.7972038,time_series/sub-control025/ROI2_Hipp_timeseries.txt,-2.0932273e-10,0.34189808,-1.6914206,1.273369,time_series/sub-control025/ROI3_Striatum_timeseries.txt
sub-control027,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control027/func/sub-control027_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,-9.419523e-10,0.26763442,-0.7770573,0.8974502,time_series/sub-control027/ROI1_mPFC_timeseries.txt,1.6222511e-09,0.2765359,-0.8696287,1.1408136,time_series/sub-control027/ROI2_Hipp_timeseries.txt,5.233068e-11,0.2834174,-0.9930953,1.1151681,time_series/sub-control027/ROI3_Striatum_timeseries.txt
sub-control029,1139,/home/tushara/Documents/projects/dcm_curiosity/data/ds004182/derivatives/sub-control029/func/sub-control029_task-magictrickwatching_desc-fullpreproc_bold.nii.gz,-7.326295e-10,0.24316582,-0.9080223,0.7602669,time_series/sub-control029/ROI1_mPFC_timeseries.txt,3.2445022e-09,0.40620434,-1.4184976,1.6571276,time_series/sub-control029/ROI2_Hipp_timeseries.txt,1.465259e-09,0.43530852,-1.3131841,1.6638514,time_series/sub-control029/ROI3_Striatum_timeseries.txt
