ID,BIDS,group,orderNumber,block,acq,startBlock,endBlock,timingCorrection,jitterVideo_trial,jitterRating_trial,stimID,vidFileName,trial,tTrialStart,tTrialEnd,durationTrial,fixationInitialDuration,displayVidOnset,displayVidOffset,displayVidDuration,displayBlankDuration,fixationPostVidOnset,fixationPostVidDuration,displayAnswerOnset,displayAnswerDuration,timeoutAnswer,responseAnswer,timestampAnswer,timestampAnswerWhite,rtAnswer,answer_tooSlow,fixationPostAnswerOnset,fixationPostAnswerDuration,betweenRatingFixation,displayCuriosityOnset,displayCuriosityDuration,timeoutCuriosity,responseCuriosity,rC_mean,rC_mean-centered,timestampCuriosity,timestampCuriosityWhite,rtCuriosity,startValueCuriosity,clicksCuriosity,fixationPostCuriosityOnset,fixationPostCuriosityDuration,curiosity_tooSlow,mockOffset,cueImage,momentOfSurprise_1,momentOfSurprise_2,momentOfSurprise_3,momentOfSurprise_4,momentOfSurprise_5,momentOfSurprise_6,momentOfSurprise_7,additionalMarker_momentOfSurprise_1,additionalMarker_momentOfSurprise_2,trialRecall,responseRecall,cuedRecallStrict,cuedRecallLenient,Flagging,Comments,trialRecognition,responseRecognition,rtRecognition,responseConfidence,rtConfidence,recognition,recognitionConfLevel_4_5_6,rememberedStrictHigh,rememberedLenientHigh
1,sub-control001,#NUM!,1,1,1,0,NA,0.008331790017,4,4,S12,08_S12_combined_small.mp4,1,0.0007997299981,72.03160429,72.03080456,1.999033446,1.999033446,50.45029416,48.45126072,1.548235351,51.99852952,4.00000583,55.99853535,5.997209181,6,31 or more,56.81765592,56.86520265,0.819120578,0,61.99574453,0.083398116,0.05,62.07914264,5.952413461,5.95,6,4.75,1.25,63.10882597,63.21256715,1.029683325,6,0,68.0315561,4.000048189,0,8.034883226,10.27786569,26.03432358,34.06752092,46.23469696,NA,NA,NA,NA,NA,NA,32,he punched on the card and made a hole. later it looked like sticking small black round paper which is of punching hole size and moved all around the corners on the card and there was no hole.,1,1,NA,,16,The magician punches a hole in the card. He then moves the hole from one corner to another before finally revealing that it is actually a black spot on the card.,213199,6,4137,1,1,1,1
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,8,H15,30_H15_combined_small.mp4,2,72.05299327,135.9972194,63.94422615,NA,73.99754786,111.9318397,37.93429182,0.06649130999,111.998331,4.000069976,115.998401,5.998699293,6,11 to 20,116.649874,116.6975511,0.651473001,0,121.9971003,0.050262826,0.05,122.0473631,5.946006799,5.95,3,,-1.75,123.3916413,123.4806579,1.344278237,5,2,127.9933699,8.003849548,0,79.9985256,81.15093836,89.11680421,NA,NA,NA,NA,NA,NA,NA,NA,4,no recall,0,0,NA,,4,"The magician pierces the deck of cards with a toothpick, but afterwards there is no hole.",277060,2,6659,0,0,0,0
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,10,Trick4,18_Trick4_combined_small.mp4,3,136.0115186,217.9920233,81.98050469,NA,137.997091,191.8453008,53.84820982,0.145904859,191.9912056,4.001371433,195.9925771,6.004052065,6,31 or more,197.2362572,197.2794485,1.243680087,0,201.9966291,0.049875785,0.05,202.0465049,5.949685802,5.95,4,,-0.75,203.6850419,203.7792681,1.638537011,7,3,207.9961907,9.995832546,0,144.0328764,175.149372,178.2323417,179.2328038,NA,NA,NA,NA,NA,NA,NA,31,the balloon was kept on mobile and slowly the air was released from it . Finally it was sticked like a back cover to mobile.,0,0,NA,,7,"As the balloon deflates, the phones starts moving across the surface without the magician touching it.",253648,4,3888,0,0,0,0
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,4,K10,23_K10_combined_small.mp4,4,218.0076335,269.9958085,51.98817493,NA,219.9935381,249.4434648,29.44992672,0.552896553,249.9963614,3.999532571,253.9958939,5.999667474,6,31 or more,254.6948889,254.7451908,0.698994994,0,259.9955614,0.049416922,0.05,260.0449783,5.947798218,5.95,3,,-1.75,262.1991256,262.289695,2.154147284,5,2,265.9927766,4.003031906,0,226.0318517,227.2319927,229.0319527,231.1026707,234.0651673,236.1068556,237.0651171,NA,NA,NA,NA,18,pin was inserted into another pin without opening it and it was removed by opening one of the pin,1,1,1,Add incorrect irrelevant information,13,The safety pins magically interlock without breaking the seal.,234833,6,4327,1,1,1,1
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,4,K18,22_K18_combined_small.mp4,5,270.0106786,321.9948578,51.98417917,NA,271.9956916,300.2465169,28.25082531,1.749313849,301.9958307,3.999762651,305.9955934,5.996947865,6,21 to 30,307.2514706,307.294435,1.255877158,0,311.9925413,0.049673977,0.05,312.0422152,5.952531757,5.95,3,,-1.75,313.6118679,313.692847,1.569652631,3,0,317.994747,4.000110762,0,278.0308335,284.2255262,289.1448416,NA,NA,NA,NA,NA,NA,NA,NA,20,converted to single pack of cards by folding it ,1,1,NA,,9,The magician folds the sheet of paper smaller and smaller until it transforms into a pack of cards.,231426,5,4754,0,0,1,1
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,4,Trick32_long,35_Trick32_long_combined_small.mp4,6,322.0118036,397.9937443,75.98194079,NA,323.9946868,376.9561817,52.96149491,1.038306498,377.9944882,3.998959777,381.993448,6.000288294,6,11 to 20,382.6018473,382.642962,0.608399298,0,387.9937363,0.04933951701,0.05,388.0430758,5.950650967,5.95,3,,-1.75,391.6796362,391.7601409,3.636560441,5,2,393.9937267,4.000017606,0,330.0253971,334.2606115,339.2307336,342.1805539,348.2635643,355.2262822,357.1437204,366.1467471,371.1462556,NA,NA,2,the 4 coins were placed on the table and each was gone one at a time and later again by tricks he placed all of them  on table,0,0,NA,,31,"The magician shows a silver and a copper coin. Every time he puts a coin in his pocket, the coin appears again in his hand.",263487,4,4080,0,0,0,0
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,4,H16,03_H16_combined_small.mp4,7,398.0115435,459.9936663,61.98212278,NA,399.9902755,439.6373465,39.64707104,0.348011987,439.9853585,4.002750843,443.9881094,6.00416086,6,11 to 20,444.6362448,444.6765231,0.648135467,0,449.9922702,0.04949303699,0.05,450.0417632,5.951110962,5.95,6,,1.25,451.5123345,451.5924702,1.470571272,4,2,455.9928742,4.000792088,0,406.02912,407.2288008,419.2218701,425.2276599,429.229509,NA,NA,NA,NA,NA,NA,26,He pressed the coke bottle from all sides and closed the tip and by tricks he was able to get the real coke out of it and poured into glass next to it,1,1,1,,19,The magician pours coke into a glass from an empty can.,250353,6,5177,1,1,1,1
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,6,4,H35,01_H35_combined_small.mp4,8,460.0059111,527.9917936,67.98588244,NA,461.9932144,505.6758871,43.68267267,0.316993753,505.9928808,5.995127985,511.9880088,6.003226807,6,0 to 10,512.7624586,512.8041955,0.774449829,0,517.9912356,0.050334313,0.05,518.0415699,5.951097651,5.95,6,,1.25,519.9882947,520.0583677,1.946724748,3,3,523.9926676,3.999125982,0,468.0239045,471.0600499,502.0279391,NA,NA,NA,NA,NA,NA,NA,NA,35,The cards signed by the participant was shuffled and then it was turned out to be one single card inside the cover,1,1,NA,,27,The volunteer signs a card which the magician subsequently pulls from a Ziploc bag.,306035,5,4892,1,1,1,1
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,4,H37,12_H37_combined_small.mp4,9,528.0057795,585.9919801,57.98620056,NA,529.9918526,564.8101796,34.8183271,1.181331518,565.9915112,3.999860735,569.9913719,5.99986271,6,0 to 10,570.8798083,570.912644,0.888436395,0,575.9912346,0.050032984,0.05,576.0412676,5.946641652,5.95,7,,2.25,578.5496337,578.6177332,2.508366152,1,6,581.9879092,4.004070805,0,536.0236644,537.1905431,544.0276285,549.02768,554.0271959,560.2247997,NA,NA,NA,NA,NA,9,NO recall,0,0,NA,,10,"The magician detaches his thumb, but when he turns his hands, the thumb is reattached.",261677,6,3575,0,0,0,0
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,6,6,S15,21_S15_combined_small.mp4,10,586.0061775,651.9886,65.98242242,NA,587.9911473,626.0044888,38.01334153,1.982893277,627.9873821,6.002998348,633.9903804,6.001046948,6,21 to 30,635.4444405,635.4734342,1.454060095,0,639.9914274,0.048993506,0.05,640.0404209,5.950776434,5.95,5,,0.25,641.6417597,641.6801391,1.601338835,5,0,645.9911973,5.997402627,0,594.0263513,595.0986384,622.1014555,NA,NA,NA,NA,NA,NA,NA,NA,33,the coin was inserted into the wine glass from the side and it remained hanging in the centre of the wine glass inside,1,1,NA,,34,The magician places a ring on the stem of the glass without breaking it.,288930,5,3611,1,1,1,1
